[survey],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2019-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
town,Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site,Lanes' Is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crew,Amanda Moeser,Will Owen,Harold Hibbard,Ben Tupper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,-70.13273333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lat,43.79175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_interval,50',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_size,1'x2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_count,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[plots],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
lat,43.79175,43.79190,43.79203,43.79215,43.79223,43.79238,43.79250,43.79263,43.79273,43.79280,43.79293,43.79265,43.79255,43.79247,43.79230,43.79215,43.79205,43.79190,43.79177,43.79183,43.79189,43.79181,43.79194,43.79208,43.79219,43.79233,43.79247,43.79258,43.79272,43.79278,43.79278,43.79286,43.79278,43.79267,43.79253,43.79242,43.79228,43.79211,43.79200,43.79200,43.79206
lon,-70.13273333,-70.13268,-70.13263333,-70.13273333,-70.13261667,-70.1324,-70.13221667,-70.13211667,-70.13196667,-70.13178333,-70.13161667,-70.13151667,-70.13143333,-70.1313,-70.1314,-70.13141667,-70.1314,-70.1314,-70.13123333,-70.13103333,-70.13069444,-70.133,-70.13288889,-70.13280556,-70.13269444,-70.13261111,-70.1325,-70.13238889,-70.13225,-70.13208333,-70.13172222,-70.13152778,-70.13136111,-70.13125,-70.13113889,-70.13105556,-70.13113889,-70.13116667,-70.13113889,-70.13094444,-70.13075
[counts],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
20,,,,7,2,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
25,,,,1,1,3,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,
30,,,6,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
35,,,4,1,1,3,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
40,,2,4,2,,12,,,,,,,,6,,4,3,,,,2,,,,3,4,,,,,,,,,,,,,,,1
45,,,9,2,4,12,,,,,,,,1,1,,3,,2,,4,,,,13,,,,,,,,,,,,,,,,2
50,,5,17,11,9,14,,,,,,,,7,3,12,,1,,,10,,,,26,,,,,,,,,,,,,1,,1,
55,,,8,10,13,2,,,,,,,,9,4,15,,,,,2,,,,10,,,,,,,,,,,,,,1,,
60,2,5,16,3,11,1,,,,,,,,4,1,15,1,,,,1,,,,3,,,,,,,,,,,,,3,2,1,
65,,2,8,9,14,3,,,,,,,,1,,3,1,1,,,3,,,,,,,,,,,,,,,,,,,,1
70,2,2,7,6,8,2,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,1,2,,2
75,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
